Date,harga_saham
2019-01-31,3.970952380952381
2019-02-28,3.9578947368421056
2019-03-31,3.888333333333333
2019-04-30,3.9422222222222225
2019-05-31,3.8333333333333335
2019-06-30,4.016842105263158
2019-07-31,4.180555555555555
2019-08-31,4.239545454545454
2019-09-30,4.1815
2019-10-31,4.157727272727272
2019-11-30,4.008260869565217
2019-12-31,3.9978947368421047
2020-01-31,3.657
2020-02-29,3.4109523809523807
2020-03-31,3.0963636363636367
2020-04-30,3.194545454545455
2020-05-31,3.1935294117647057
2020-06-30,3.2257142857142855
2020-07-31,3.125
2020-08-31,3.074444444444444
2020-09-30,2.9104761904761904
2020-10-31,2.951
2020-11-30,3.2275
2020-12-31,3.3233333333333333
2021-01-31,3.4295238095238094
2021-02-28,3.378888888888889
2021-03-31,3.432857142857143
2021-04-30,3.3445454545454543
2021-05-31,3.328421052631579
2021-06-30,3.3566666666666665
2021-07-31,3.296190476190476
2021-08-31,3.436363636363636
2021-09-30,3.4843478260869567
2021-10-31,3.6615
2021-11-30,3.7150000000000003
2021-12-31,3.880952380952381
2022-01-31,4.292105263157895
2022-02-28,4.3525
2022-03-31,4.484
2022-04-30,4.527368421052631
2022-05-31,4.275294117647059
2022-06-30,4.1455
2022-07-31,4.242727272727273
2022-08-31,4.4855
2022-09-30,4.424285714285714
2022-10-31,4.33047619047619
2022-11-30,4.153636363636363
2022-12-31,4.354285714285714
