Date,harga_saham
2021-09-28,3.53
2021-09-27,3.52
2021-09-24,3.56
2021-09-23,3.56
2021-09-22,3.59
2021-09-21,3.53
2021-09-20,3.52
2021-09-17,3.53
2021-09-16,3.44
2021-09-15,3.45
2021-09-14,3.44
2021-09-13,3.35
2021-10-09,3.33
2021-09-09,3.39
2021-08-09,3.33
2021-07-09,3.38
2021-06-09,3.39
2021-03-09,3.39
2021-02-09,3.37
2021-01-09,3.34
2021-08-31,3.4
2021-08-30,3.4
2021-08-27,3.32
2021-08-26,3.36
2021-08-25,3.37
2021-08-24,3.4
2021-08-23,3.44
2021-08-20,3.4
2021-08-19,3.39
2021-08-18,3.42
2021-08-16,3.34
2021-08-13,3.3
2021-12-08,3.35
2021-10-08,3.23
2021-09-08,3.25
2021-06-08,3.32
2021-05-08,3.34
2021-04-08,3.37
2021-03-08,3.33
2021-02-08,3.31
2021-07-30,3.24
2021-07-29,3.23
2021-07-28,3.19
2021-07-27,3.27
2021-07-26,3.19
2021-07-23,3.17
2021-07-22,3.26
2021-07-21,3.21
2021-07-19,3.22
2021-07-16,3.17
2021-07-15,3.13
2021-07-14,3.06
2021-07-13,3.07
2021-12-07,3.13
2021-09-07,3.16
2021-08-07,3.01
2021-07-07,3.03
2021-06-07,3.01
2021-05-07,3.04
2021-02-07,3.07
2021-01-07,3.11
2021-06-30,3.15
2021-06-29,3.16
2021-06-28,3.17
2021-06-25,3.25
2021-06-24,3.25
2021-06-23,3.37
2021-06-22,3.3
2021-06-21,3.3
2021-06-18,3.35
2021-06-17,3.35
2021-06-16,3.41
2021-06-15,3.44
2021-06-14,3.41
2021-11-06,3.47
2021-10-06,3.48
2021-09-06,3.39
2021-08-06,3.5
2021-07-06,3.55
2021-04-06,3.5
2021-03-06,3.49
2021-02-06,3.45
2021-05-31,3.44
2021-05-28,3.27
2021-05-27,3.38
2021-05-25,3.3
2021-05-24,3.26
2021-05-21,3.27
2021-05-20,3.31
2021-05-19,3.16
2021-05-18,3.18
2021-05-17,3.19
2021-11-05,3.18
2021-10-05,3.17
2021-07-05,3.19
2021-06-05,3.19
2021-05-05,3.2
2021-04-05,3.21
2021-03-05,3.17
2021-04-30,3.2
2021-04-29,3.2
2021-04-28,3.14
2021-04-27,3.16
2021-04-26,3.25
2021-04-23,3.31
2021-04-22,3.33
2021-04-21,3.28
2021-04-20,3.32
2021-04-19,3.34
2021-04-16,3.36
2021-04-15,3.36
2021-04-14,3.34
2021-04-13,3.33
2021-12-04,3.31
2021-09-04,3.36
2021-08-04,3.39
2021-07-04,3.4
2021-06-04,3.37
2021-05-04,3.38
2021-01-04,3.39
2021-03-31,3.42
2021-03-30,3.38
2021-03-29,3.41
2021-03-26,3.49
2021-03-25,3.41
2021-03-24,3.37
2021-03-23,3.36
2021-03-22,3.38
2021-03-19,3.44
2021-03-18,3.45
2021-03-17,3.39
2021-03-16,3.36
2021-03-15,3.38
2021-12-03,3.45
2021-10-03,3.4
2021-09-03,3.29
2021-08-03,3.34
2021-05-03,3.32
2021-04-03,3.36
2021-03-03,3.44
2021-02-03,3.46
2021-01-03,3.49
2021-02-26,3.49
2021-02-25,3.49
2021-02-24,3.48
2021-02-23,3.47
2021-02-22,3.17
2021-02-19,3.21
2021-02-18,3.18
2021-02-17,3.15
2021-02-16,3.21
2021-02-15,3.22
2021-11-02,3.19
2021-10-02,3.19
2021-09-02,3.2
2021-08-02,3.28
2021-05-02,3.29
2021-04-02,3.29
2021-03-02,3.24
2021-02-02,3.27
2021-01-02,3.23
2021-01-29,3.11
2021-01-28,3.24
2021-01-27,3.38
2021-01-26,3.26
2021-01-25,3.37
2021-01-22,3.39
2021-01-21,3.48
2021-01-20,3.47
2021-01-19,3.41
2021-01-18,3.45
2021-01-15,3.48
2021-01-14,3.5
2021-01-13,3.48
2021-12-01,3.51
2021-11-01,3.6
2021-08-01,3.57
2021-07-01,3.39
2021-06-01,3.37
2021-05-01,3.47
2021-04-01,3.49
2020-12-30,3.31
2020-12-29,3.42
2020-12-28,3.43
2020-12-23,3.32
2020-12-22,3.36
2020-12-21,3.52
2020-12-18,3.51
2020-12-17,3.54
2020-12-16,3.61
2020-12-15,3.45
2020-12-14,3.32
2020-11-12,3.28
2020-10-12,3.26
2020-08-12,3.3
2020-07-12,3.33
2020-04-12,3.25
2020-03-12,3.3
2020-02-12,3.33
2020-01-12,3.24
2020-11-30,3.23
2020-11-27,3.46
2020-11-26,3.47
2020-11-25,3.28
2020-11-24,3.35
2020-11-23,3.32
2020-11-20,3.22
2020-11-19,3.17
2020-11-18,3.18
2020-11-17,3.22
2020-11-16,3.07
2020-11-13,2.99
2020-12-11,3.04
2020-11-11,3.08
2020-10-11,2.86
2020-09-11,2.88
2020-06-11,2.83
2020-05-11,2.77
2020-04-11,2.58
2020-03-11,2.58
2020-02-11,2.56
2020-10-27,2.62
2020-10-26,2.65
2020-10-23,2.63
2020-10-22,2.7
2020-10-21,2.68
2020-10-20,2.67
2020-10-19,2.71
2020-10-16,2.75
2020-10-15,2.78
2020-10-14,2.81
2020-10-13,2.73
2020-12-10,2.73
2020-09-10,2.73
2020-08-10,2.7
2020-07-10,2.66
2020-06-10,2.65
2020-05-10,2.65
2020-02-10,2.68
2020-01-10,2.75
2020-09-30,2.56
2020-09-29,2.63
2020-09-28,2.66
2020-09-25,2.69
2020-09-24,2.73
2020-09-23,2.8
2020-09-22,2.78
2020-09-21,2.81
2020-09-18,2.89
2020-09-17,2.82
2020-09-16,2.79
2020-09-15,2.83
2020-09-14,2.89
2020-11-09,2.81
2020-10-09,2.7
2020-09-09,2.8
2020-08-09,2.86
2020-07-09,2.9
2020-04-09,2.86
2020-03-09,2.9
2020-02-09,2.95
2020-01-09,2.9
2020-08-31,2.86
2020-08-28,2.96
2020-08-27,2.99
2020-08-26,3.02
2020-08-25,2.98
2020-08-24,3.0
2020-08-19,3.0
2020-08-18,3.05
2020-08-14,3.03
2020-08-13,3.01
2020-12-08,2.95
2020-11-08,2.93
2020-10-08,2.97
2020-07-08,2.98
2020-06-08,3.02
2020-05-08,3.02
2020-04-08,2.95
2020-03-08,2.92
2020-07-30,3.05
2020-07-29,3.0
2020-07-28,3.02
2020-07-27,3.04
2020-07-24,3.02
2020-07-23,3.07
2020-07-22,3.07
2020-07-21,3.06
2020-07-20,3.06
2020-07-17,3.06
2020-07-16,3.1
2020-07-15,3.09
2020-07-14,3.08
2020-07-13,3.09
2020-10-07,3.11
2020-09-07,3.11
2020-08-07,3.15
2020-07-07,3.12
2020-06-07,3.05
2020-03-07,3.12
2020-02-07,3.14
2020-01-07,3.04
2020-06-30,3.05
2020-06-29,3.18
2020-06-26,3.19
2020-06-25,3.16
2020-06-24,3.18
2020-06-23,3.13
2020-06-22,3.2
2020-06-19,3.28
2020-06-18,3.28
2020-06-17,3.21
2020-06-16,3.2
2020-06-15,3.09
2020-12-06,3.03
2020-11-06,3.08
2020-10-06,3.11
2020-09-06,3.14
2020-08-06,3.23
2020-05-06,3.23
2020-04-06,3.3
2020-03-06,3.29
2020-02-06,3.25
2020-05-29,3.15
2020-05-28,3.13
2020-05-27,3.17
2020-05-26,3.25
2020-05-20,3.18
2020-05-19,3.27
2020-05-18,3.22
2020-05-15,3.1
2020-05-14,3.07
2020-05-13,3.16
2020-12-05,3.15
2020-11-05,3.22
2020-08-05,3.19
2020-06-05,3.24
2020-05-05,3.32
2020-04-05,3.32
2020-04-30,3.5
2020-04-29,3.35
2020-04-28,3.16
2020-04-27,3.15
2020-04-24,3.09
2020-04-23,3.07
2020-04-22,3.16
2020-04-21,3.07
2020-04-20,3.12
2020-04-17,3.23
2020-04-16,3.0
2020-04-15,3.11
2020-04-14,3.24
2020-04-13,3.18
